,BC cells,Mix BC cells TAMs,DCs,T cells,TAMs,NK cells,Blood ECs,CAFs,Plasma cells,Mural cells,Mast cells,Myoepithelial cells
BRAF,1.09200343858693,1.08947894569722,1.20697091263099,1.16834950331462,0.998937226856975,1.34546380665868,1.04005655112203,1.13338621761658,1.14118173272607,0.896815597362823,1.32199445019588,1.28743616354996
CLEC5A,0.0206120509792468,1.30343781859386,0.594219880974013,0.0114253979143852,0.937728003351427,0.0213768428997329,0.0190171136841875,0.0242269204048366,0.0453961479700987,0.0961150001663279,0,0.0150901590150192
PRSS2,0.0117941195503592,0.000425250491973661,0,0.00168722366220719,0.000252888391160949,0.0161892892260558,0,0,0,0,0,0
EPHB6,0.0590580058366265,0.0349975451295865,0.021341818752317,0.053868045096364,0.0174701541840344,0.0264457705853157,0,0.0225702318996063,0.012938478146276,0.0435757553809729,0,0.0164564653763142
EZH2,0.736574044612293,0.849202421437755,0.566466056073303,0.373915239860434,0.422704740426761,0.666102872310221,0.304046393241201,0.153583670537461,0.214176389740637,0.17969159113225,0.0862142469332386,0.198910528553599
RARRES2,0.00212847628338438,0.00153264938924251,0.0406702987652376,0.00288189245743041,0.00123496911952585,0,0.0250792389710176,0.236969811669256,0.00317761874877113,0.226136823052968,0,0.0213129950093466
INSIG1,0.137566223932108,0.767771502164124,0.625857484572651,0.157180909962628,0.566963461899307,0.215904832383142,0.275365381430376,0.0523319977531061,0.114491268524826,0.0780576626808376,0.0820807616496426,0
ANGPT2,0.0628925700427997,0.0345297131078057,0.0533040860350843,0.112055567152467,0.03292182455924,0.206844914069967,0.358849499344976,0.0703568848866843,0.0521500507292375,1.19750838202173,0.141802139213825,0.0481105454187859
MSR1,0.0756550619633872,0.758779096294072,0.174023815873581,0.0466975917568115,1.45007207937407,0.0233373799432282,0.0897523616191749,0.16073934855435,0.0937167931094811,0.111075199530487,0.142239005924552,0.119833299131878
PSD3,0.354914278857147,1.0037381935148,0.609309006133651,0.0714131186785592,1.09588138363196,0.0173733430250675,0.380372745581164,0.79437374443581,0.0842519250581135,0.784060118868281,0.150672329401857,1.038885638685
BMP1,0.0258459763372735,0.0714247289030326,0.0280341580188205,0.0161214620711362,0.0391367297048389,0.0113141050490782,0.312925699091195,0.274602059225349,0.0375827118808115,0.49010006243983,0,0.0806838684007667
TNFRSF10B,0.14346606889384,0.519398683486104,0.638687185739007,0.227635906223797,0.413967349727663,0.0946453817594165,0.524116084510602,0.222395103452512,0.140837869155153,0.273123171272632,0.026552775267429,0.22312685918622
TNFRSF10D,0.0158411576889777,0.302405354231205,0.158255541338031,0.0563835231001074,0.293937879769447,0.0432803820029737,0.719457193712062,0.0803559647730863,0.0303855722142137,0.304902326653901,0.0260052282048989,0.128845768369459
TNFRSF10A,0.074974851622529,0.111090136503008,0.0220340389543957,0.1458199668407,0.08049747732966,0.0747407354989818,0.132658656446868,0.03467471595352,0.0893053462939128,0.0612791480231875,0.0664699768810882,0.0811803402123914
CLU,0.276813331046535,0.00910935811722431,0.0217527026113292,0.019408157309267,0.0096562605764821,0.0241598508277745,0.250359708460537,0.0502111466017692,0.0512673329602685,0.0290114710426472,0.105133701775692,0.14673522673073
PNOC,0.00174057874962123,0,0.0268460414853823,0.0010445508245955,0.00179517383123655,0.00605569934960664,0,0.00520278694628667,0.0475738757544361,0,0,0.00581770390502549
FZD3,0.206886042044829,0.0175164888886141,0.00966628055480277,0.0261849565089718,0.0133921279625451,0.00411700182275645,0,0.0513242184586039,0.123882676422872,0.0340645827111358,0.0968394756052356,0.176242944423125
DUSP4,0.242154255817174,0.0667913072928287,0.193653010211168,0.518637876048266,0.0603886143336124,0.300010495465148,0.0922371595577139,0.181896431020565,0.0315958299963853,0.0627486346275148,0.0421573506408386,0.102704053923278
NRG1,0.119804820224211,0.0695537958577009,0.0549025141285561,0.0239778229562694,0.0387713430290426,0.022531815995168,0,0.107977613162341,0.0659133126630612,0.610795839758434,0.126176103128449,2.55369815681074
ADGRA2,0.0110994355247673,0.00283943132911686,0.0602050430258069,0.00818816363130157,0.00971206028651388,0.00688006340665312,0.235612870582407,0.207860752298117,0.0505050106328029,0.666394435007372,0,0.0113988211726984
FGFR1,0.522898197148934,0.102920286237418,0.0304438420880849,0.0979023735359879,0.0967675315412573,0.0421923801555228,0.376397081319158,0.864637219150963,0.0506207622277751,0.392290520580944,0.102470077685916,0.865028752082731
IDO1,0.00585726031226204,0.00889408861532368,0.30725121207448,0.00392790746595168,0.00657940279439258,0.00116664528341847,0,0.00325552422199041,0.0106560845541855,0.00197598396915449,0.0317704929594709,0.00395632241381158
SNAI2,0.005253547007173,0.000378727599246558,0.000576979191463821,0,0,0,0.163971502861287,0.182500141924141,0,0.3675998387768,0,0.130953072100396
XKR4,0.0273420639048985,0.0093714213343736,0.276860515889709,0.00261957923829634,0.00405377467747464,0.00556950552995015,0,0.0149081498040035,0.00243193850999364,0.0266499114494189,0,0.00391778425281682
LYN,0.228099713809415,1.30219024891313,1.41830563972943,0.0772673608086407,1.42359485062574,0.610518417304926,0.997276807370427,0.14820870993987,1.02462519743301,0.246870097722327,0.841286337424223,0.379300423501526
TOX,0.0854626397741497,0.114639051594415,0.602288549299179,1.64665816191485,0.0625266653467383,2.08420960589661,0.0677736055479868,0.335381383956107,0.508609765079324,0.147079638365274,1.20406336806831,0.416630680241418
IL7,0.198640545404774,0.058310150081253,0.0767311310243454,0.17134464071431,0.0910455269438127,0.0338211770230613,0.0713378083962989,0.180518136997838,0.130652170820222,0.155216116077313,0.0369711481435519,0.21064456807838
HEY1,0.0238787319039256,0.00284818931792738,0.00281667131860097,0.00128371975839433,0.00525558052714456,0,0.344550340044185,0.00224620788662881,0,0.0249644580218271,0,0.0476624693141475
FABP5,0.455576758309019,1.53699690752593,0.411396253362492,0.181385312236282,1.03899600147347,0.300011560334003,0.598276753377482,0.0308033073706844,0.127111110296648,0.460920640810274,0.0273146474760839,0.0408189002864645
FABP4,0.000951543063740112,0.0116851974875385,0.00435110678581969,0,0.0172679963628399,0,0.307962400926613,0,0,0,0.027320491591824,0
